,Cust_ID,Staff_ID,Amt,Prod,date
0,102,45,37500,E,26-Jan-21
1,97,10,43500,E,1-Jan-21
2,151,225,19500,C,16-Oct-19
3,185,54,21000,C,4-Aug-19
4,61,88,24500,C,19-Feb-20
5,133,170,10000,J,30-Oct-20
6,169,74,10500,D,8-Jun-19
7,370,64,25500,J,6-Jun-21
8,193,22,13000,A,15-Sep-19
9,158,237,36500,D,22-Jan-19
10,378,59,26000,J,10-Jul-21
11,321,172,39000,G,19-Sep-21
12,377,230,41000,H,21-Jul-20
13,28,173,33500,B,22-Jun-19
14,257,176,41000,G,11-Jun-19
15,212,24,26000,G,6-Sep-21
16,241,113,35000,A,6-Sep-21
17,195,172,12500,F,25-Mar-19
18,326,45,16000,D,2-Feb-19
19,281,86,26000,H,28-Jun-20
20,116,130,33000,I,5-Nov-19
21,49,107,31500,C,1-Sep-19
22,344,223,45500,J,14-Aug-19
23,98,15,28500,E,30-Jan-20
24,35,269,47500,F,26-Nov-19
25,229,240,31000,D,21-Oct-19
26,273,281,30500,E,14-Oct-20
27,79,69,25000,C,6-Mar-21
28,133,106,1000,I,26-Jan-20
29,346,246,33500,D,9-Feb-20
30,88,184,10500,D,12-Oct-19
31,392,204,3500,J,25-Sep-21
32,74,66,5500,J,28-May-21
33,207,55,16500,F,12-Sep-20
34,272,258,1000,H,4-Jan-19
35,42,76,26500,J,17-Jan-19
36,240,205,33000,H,2-Mar-21
37,69,144,30500,J,18-Feb-21
38,336,229,25000,E,7-Apr-19
39,262,34,30500,G,24-Jan-21
40,246,121,2000,D,15-Oct-20
41,100,86,17000,H,7-Jun-21
42,201,178,16000,G,28-May-19
43,390,24,15500,B,14-Dec-20
44,314,264,8000,D,24-Jun-19
45,201,214,35500,F,19-Jan-21
46,386,193,42000,F,9-Oct-19
47,144,21,28000,A,16-Dec-20
48,271,117,19500,J,11-Jan-20
49,385,286,27000,F,25-Jan-20
50,74,200,41000,C,14-Aug-20
51,105,75,43000,H,25-Nov-19
52,352,74,42000,F,30-Sep-19
53,397,160,46500,J,6-Sep-21
54,57,92,22500,A,25-Jun-20
55,215,256,23000,G,6-Sep-20
56,155,296,42500,I,26-Jan-21
57,62,257,20000,I,19-Jun-21
58,292,113,3500,G,16-Apr-20
59,381,260,48500,B,6-Jan-20
60,130,59,4500,G,13-Oct-20
61,325,56,41500,D,25-Apr-19
62,144,244,10500,B,5-Jan-21
63,81,170,15500,C,18-Mar-19
64,83,43,42000,F,24-Apr-19
65,74,198,4500,H,15-Mar-20
66,223,280,19000,F,17-Jul-21
67,60,178,25000,I,15-Jan-20
68,133,227,7500,F,12-Apr-20
69,56,70,25500,B,29-Aug-19
70,367,228,46000,H,21-May-21
71,36,68,47500,B,27-Feb-20
72,194,27,18500,G,22-Mar-20
73,237,229,9500,I,15-Jul-21
74,216,91,24500,H,3-Nov-20
75,304,113,7000,C,19-Feb-21
76,236,226,20500,I,17-Mar-19
77,23,143,16000,J,30-Mar-20
78,299,52,43500,B,27-Jun-20
79,172,141,8000,D,12-Feb-19
80,184,230,13500,J,19-May-21
81,304,231,3500,H,10-Aug-19
82,114,190,12500,A,12-Aug-20
83,339,160,19500,A,11-Jan-20
84,356,190,29500,I,25-Jun-19
85,310,275,34000,I,2-Jun-19
86,315,270,22500,F,13-Mar-21
87,378,212,4000,F,29-Sep-19
88,323,293,46500,I,5-Jun-20
89,241,207,8000,E,22-Oct-19
90,88,68,33000,I,8-Jun-19
91,295,101,48000,B,24-May-20
92,47,270,10500,J,16-Mar-21
93,165,88,49500,F,24-Jul-21
94,246,47,19000,A,20-Oct-20
95,64,33,5500,G,31-Jan-20
96,163,200,2500,H,27-Apr-19
97,207,169,17000,F,28-Jun-19
98,100,42,16000,B,18-Apr-20
99,268,272,12000,C,18-Dec-20
100,238,83,5500,F,5-Jul-19
101,101,162,42000,J,12-Dec-19
102,337,131,50000,D,9-Mar-20
103,148,94,41000,I,11-Dec-19
104,340,286,47500,H,28-Aug-21
105,284,212,30000,I,18-Mar-20
106,352,48,20500,H,19-Feb-21
107,257,243,46500,I,22-May-21
108,45,179,22500,F,5-Mar-19
109,226,165,36000,F,29-May-20
110,78,66,15500,C,16-Jun-20
111,123,133,4500,H,26-Mar-21
112,50,107,5500,I,15-May-19
113,251,80,47000,E,11-Nov-19
114,91,78,27500,H,22-May-19
115,301,241,32500,F,10-Jun-21
116,174,250,17500,I,30-May-20
117,247,202,10000,C,11-May-20
118,326,178,8500,A,15-Nov-20
119,382,97,6500,B,25-Apr-19
120,268,259,13000,G,4-Jul-19
121,68,172,48000,B,24-Jul-19
122,358,238,40500,F,14-Apr-21
123,177,206,46000,H,16-May-20
124,162,232,2000,I,21-Feb-20
125,30,36,1500,A,3-Mar-20
126,128,110,1000,J,2-Feb-20
127,185,58,32000,G,16-Dec-19
128,326,177,48500,C,22-Mar-21
129,306,279,8000,E,25-Oct-20
130,236,235,19500,A,24-Jan-20
131,371,21,45500,C,17-Jul-20
132,132,154,28500,B,17-Aug-20
133,147,231,38500,E,17-Jan-21
134,127,134,48000,I,24-Jun-19
135,245,177,43000,F,21-Mar-21
136,227,99,47000,F,5-Oct-19
137,365,159,41500,H,31-Aug-19
138,267,178,13000,B,8-Dec-20
139,12,281,22500,B,5-Apr-20
140,56,148,14000,B,8-Mar-20
141,142,279,16500,F,28-Feb-21
