date,Staff_ID,Prod,Total,Count,Cat,Br_ID,Name,lat,long
2019-01-02,6,Card Installment Loan,1000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-06-07,6,Card Installment Loan,20500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-07-11,6,Card Installment Loan,41000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-04-04,6,Card Installment Loan,1000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-11-13,6,Card Installment Loan,34500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2021-06-17,6,Card Installment Loan,29000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2021-07-03,6,Card Installment Loan,34500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-07-05,6,Revolving Loan,22500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-07-05,6,Revolving Loan,22500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2020-01-01,6,Revolving Loan,23500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-01-01,6,Revolving Loan,23500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2020-10-03,6,Revolving Loan,14500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-10-03,6,Revolving Loan,14500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2020-11-24,6,Revolving Loan,20500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-11-24,6,Revolving Loan,20500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2021-01-16,6,Revolving Loan,13000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2021-01-16,6,Revolving Loan,13000.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2021-05-08,6,Revolving Loan,34000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2021-05-08,6,Revolving Loan,34000.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2019-01-28,6,Secured Loan,28500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2021-07-15,6,Secured Loan,13500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2021-09-05,6,Secured Loan,7000.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2020-01-29,6,Cash Advance,8500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-11-08,6,Cash Advance,29000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2021-01-14,6,Cash Advance,2500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2021-04-18,6,Cash Advance,43000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-01-31,6,Unsecured Loan,49000.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2020-01-25,6,Unsecured Loan,27500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2020-05-08,6,Unsecured Loan,2000.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2019-02-28,6,Security,38000.0,1,Investment,7,Bloor & Church ,43.6705993,-79.3851527
2020-12-02,6,Security,35500.0,1,Investment,7,Bloor & Church ,43.6705993,-79.3851527
2020-11-08,6,ELI,31000.0,1,Investment,7,Bloor & Church ,43.6705993,-79.3851527
2019-11-20,6,Balance Transfer,15500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-03-15,6,UT,26000.0,1,Investment,7,Bloor & Church ,43.6705993,-79.3851527
2020-01-26,6,UT,40500.0,1,Investment,7,Bloor & Church ,43.6705993,-79.3851527
2019-01-08,153,Card Installment Loan,36500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-09-19,153,Card Installment Loan,2000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-06-04,153,Card Installment Loan,33500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-08-12,153,Card Installment Loan,46500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2021-03-22,153,Card Installment Loan,30500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-01-03,153,Revolving Loan,40500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-01-03,153,Revolving Loan,40500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2019-03-27,153,Revolving Loan,43500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-03-27,153,Revolving Loan,43500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2019-06-23,153,Revolving Loan,43000.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-06-23,153,Revolving Loan,43000.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2019-09-13,153,Revolving Loan,44500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2019-09-13,153,Revolving Loan,44500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2020-03-24,153,Revolving Loan,36500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
2020-03-24,153,Revolving Loan,36500.0,1,Personal Loan,7,Bloor & Church ,43.6705993,-79.3851527
2021-01-01,153,Revolving Loan,38500.0,1,Credit Card,7,Bloor & Church ,43.6705993,-79.3851527
